Date,Distance walking / running(mi),Distance walking / running(mi) MOVING AVERAGE
2021-05-16,0.815,1.956261397673182
2021-05-17,0.945,1.8551352571813777
2021-05-18,0.42,1.711621730537899
2021-05-19,0.53,1.5934595567984153
2021-05-20,0.728,1.506913600666571
2021-05-21,1.275,1.4837222404909047
2021-05-22,3.434,1.6787500172668555
2021-05-23,0.555,1.56637501511232
2021-05-24,0.211,1.4308375131366544
2021-05-25,1.291,1.416853761779864
2021-05-26,1.366,1.4117683855877627
2021-05-27,1.058,1.3763915469406154
2021-05-28,1.238,1.3625523922154408
2021-05-29,1.155,1.341797152951901
2021-05-30,0.239,1.2315174374558873
2021-05-31,0.501,1.1584656935905713
2021-06-01,1.046,1.1472191242149248
2021-06-02,0.444,1.0768972117000775
2021-06-03,1.195,1.0887074905441805
2021-06-04,1.577,1.1375367415422688
2021-06-05,0.69,1.0927830673447303
2021-06-06,0.29,1.012504760540335
2021-06-07,0.377,0.9489542844364844
2021-06-08,0.808,0.9348588559828915
2021-06-09,0.36,0.8773729703481014
2021-06-10,1.046,0.8942356733229276
2021-06-11,1.585,0.9633121060261619
2021-06-12,2.072,1.074180895474865
2021-06-13,0.673,1.0340628059106656
2021-06-14,0.344,0.965056525293726
2021-06-15,1.198,0.9883508727722139
2021-06-16,1.085,0.9980157854979276
2021-06-17,1.133,1.0115142069518244
2021-06-18,1.177,1.0280627862607128
2021-06-19,1.261,1.0513565076397986
2021-06-20,0.619,1.0081208568672038
2021-06-21,0.866,0.9939087711779346
2021-06-22,1.392,1.0337178940665661
2021-06-23,0.578,0.9881461046532898
2021-06-24,1.075,0.9968314941890961
2021-06-25,1.44,1.0411483447754006
2021-06-26,0.349,0.9719335102905312
2021-06-27,1.737,1.0484401592687693
2021-06-28,0.652,1.008796143338492
2021-06-29,1.461,1.0540165290081338
2021-06-30,0.337,0.9823148761023388
2021-07-01,0.686,0.9526833884902521
2021-07-02,0.716,0.9290150496398949
2021-07-03,0.279,0.8640135446726133
2021-07-04,0.477,0.8253121902035877
2021-07-05,1.535,0.8962809711861404
2021-07-06,1.06,0.912652874068131
2021-07-07,0.35,0.8563875866594483
2021-07-08,0.82,0.8527488279933946
2021-07-09,1.164,0.883873945194893
2021-07-10,1.288,0.9242865506763827
2021-07-11,0.352,0.8670578956074968
2021-07-12,0.67,0.8473521060463605
2021-07-13,1.226,0.8852168954423932
2021-07-14,0.618,0.8584952058977292
2021-07-15,1.035,0.8761456853082087
2021-07-16,0.833,0.8718311167773323
2021-07-17,0.933,0.87794800509967
2021-07-18,2.79,1.069153204591697
2021-07-19,1.347,1.096937884132788
2021-07-20,1.442,1.1314440957198006
2021-07-21,1.152,1.1334996861478361
2021-07-22,1.541,1.1742497175333313
2021-07-23,1.531,1.209924745780218
2021-07-24,0.95,1.1839322712020521
2021-07-25,0.786,1.1441390440816483
2021-07-26,1.129,1.1426251396734766
2021-07-27,1.142,1.1425626257061285
2021-07-28,0.417,1.0700063631352519
2021-07-29,1.575,1.1205057268218919
2021-07-30,1.515,1.159955154139819
2021-07-31,1.372,1.1811596387258931
2021-08-01,2.366,1.2996436748535865
2021-08-02,2.24,1.3936793073684297
2021-08-03,0.259,1.2802113766313676
2021-08-04,0.41,1.1931902389680795
2021-08-05,0.941,1.167971215071232
2021-08-06,1.229,1.1740740935641172
2021-08-07,1.943,1.2509666842078029
2021-08-08,0.75,1.2008700157869654
2021-08-09,0.706,1.151383014208218
2021-08-10,1.531,1.1893447127874315
2021-08-11,0.75,1.1454102415086518
2021-08-12,1.34,1.164869217357801
2021-08-13,1.794,1.2277822956220634
2021-08-14,0.269,1.131904066059799
2021-08-15,1.606,1.179313659453845
2021-08-16,6.044,1.6657822935086994
2021-08-17,8.932,2.3924040641581508
2021-08-18,0.53,2.2061636577422616
2021-08-19,0.841,2.069647291967987
2021-08-20,1.291,1.9917825627711632
2021-08-21,0.41,1.833604306494001
2021-08-22,0.837,1.733943875844575
2021-08-23,0.701,1.6306494882600933
2021-08-24,1.608,1.6283845394340832
2021-08-25,0.857,1.5512460854906602
2021-08-26,0.351,1.4312214769415734
2021-08-27,0.916,1.3796993292474082
2021-08-28,1.588,1.4005293963226704
2021-08-29,6.369,1.8973764566904652
2021-08-30,4.571,2.1647388110214485
2021-08-31,2.401,2.188364929919306
2021-09-01,3.932,2.3627284369273913
2021-09-02,3.253,2.4517555932346595
2021-09-03,2.891,2.495680033911197
2021-09-04,1.945,2.440612030520074
2021-09-05,1.569,2.3534508274680612
2021-09-06,2.256,2.3437057447212544
2021-09-07,2.054,2.3147351702491274
2021-09-08,3.551,2.4383616532242205
2021-09-09,4.423,2.636825487901806
2021-09-10,5.795,2.952642939111637
2021-09-11,1.478,2.805178645200469
2021-09-12,1.48,2.672660780680418
2021-09-13,2.049,2.6102947026123746
2021-09-14,2.735,2.6227652323511377
2021-09-15,2.178,2.5782887091160234
2021-09-16,2.826,2.6030598382044214
2021-09-17,1.89,2.531753854383978
2021-09-18,3.456,2.624178468945581
2021-09-19,1.801,2.5418606220510216
2021-09-20,1.912,2.4788745598459188
2021-09-21,2.691,2.500087103861327
2021-09-22,2.376,2.487678393475194
2021-09-23,2.13,2.4519105541276742
2021-09-24,2.701,2.476819498714907
2021-09-25,1.803,2.409437548843416
2021-09-26,6.034,2.7718937939590766
2021-09-27,2.055,2.7002044145631685
2021-09-28,3.663,2.7964839731068523
2021-09-29,2.305,2.747335575796167
2021-09-30,4.794,2.952002018216551
2021-10-01,2.999,2.956701816394896
2021-10-02,1.24,2.7850316347554056
2021-10-03,1.456,2.6521284712798647
2021-10-04,2.392,2.626115624151878
2021-10-05,1.953,2.5588040617366903
2021-10-06,2.718,2.5747236555630213
2021-10-07,4.612,2.77845129000672
2021-10-08,3.141,2.8147061610060478
2021-10-09,6.458,3.1790355449054433
2021-10-10,1.4,3.0011319904148985
2021-10-11,2.449,2.945918791373409
2021-10-12,3.033,2.954626912236068
2021-10-13,3.446,3.0037642210124615
2021-10-14,3.702,3.0735877989112157
2021-10-15,2.685,3.034729019020094
