Date,Headphone sound levels(dBASPL),Headphone sound levels(dBASPL) MOVING AVERAGE
2021-02-23,63.765,63.497421792934766
2021-02-24,56.992,62.84685034966119
2021-02-25,59.842,62.54635314943672
2021-02-26,56.85,61.97669707885228
2021-02-27,58.805,61.65951697004435
2021-02-28,52.248,60.718337496325006
2021-03-01,57.885,60.43499622075186
2021-03-02,54.237,59.815181781851976
2021-03-03,56.221,59.455755870714235
2021-03-04,58.474,59.357578382606604
2021-03-05,63.343,59.75612748983485
2021-03-06,76.094,61.38994036596533
2021-03-07,44.114,59.66232194262435
2021-03-08,76.235,61.31961080294865
2021-03-09,49.022,60.08983566163691
2021-03-10,50.945,59.17534268494713
2021-03-11,65.985,59.85631472319809
2021-03-13,72.70332098380753,61.14102605764715
2021-03-13,66.661,61.693027592845375
2021-03-15,54.819,61.00562019249457
2021-03-16,66.589,61.563961565948446
2021-03-17,77.943,63.201874366699855
2021-03-18,73.9,64.27169219554574
2021-03-19,60.495,63.894021303025156
2021-03-20,59.429,63.44751739263501
2021-03-21,65.948,63.697566550560666
2021-03-22,49.736,62.30140538695672
2021-03-23,58.115,61.88276363155355
2021-03-24,65.979,62.292388339849154
2021-03-25,58.439,61.90704859872811
2021-03-26,60.735,61.78984349053186
2021-03-27,67.327,62.34356019732644
2021-03-29,60.05241704394343,62.11444548879208
2021-03-29,54.558,61.35879977278908
2021-03-30,62.29,61.45191992495505
2021-03-31,57.303,61.037027413397446
2021-04-01,60.596,60.99292462239935
2021-04-02,72.284,62.122033304366106
2021-04-03,54.038,61.313629236637134
2021-04-04,63.992,61.581466532822574
2021-04-05,59.369,61.36021971609469
2021-04-06,56.095,60.83369739441469
2021-04-07,56.487,60.39902739487287
2021-04-08,76.416,62.00072551797567
2021-04-09,56.376,61.43825269355173
2021-04-10,65.573,61.851727604563926
2021-04-11,58.998,61.56635473206988
2021-04-12,56.351,61.044819074583046
2021-04-13,59.786,60.91893712709343
2021-04-14,59.034,60.73044336043602
2021-04-15,61.519,60.809299044704495
2021-04-16,53.954,60.123768981309716
2021-04-17,55.257,59.63709198163639
2021-04-18,48.101,58.483482566848195
2021-04-19,51.906,57.82573419900269
2021-04-20,55.323,57.575460741035414
2021-04-21,54.905,57.30841463037554
2021-04-22,71.456,58.72317334163956
2021-04-23,65.101,59.36095607819429
2021-04-24,56.594,59.08426044276233
2021-04-25,61.269,59.30273441810823
2021-04-26,59.701,59.34256097951671
2021-04-27,59.064,59.31470487953851
2021-04-28,62.086,59.59183440972966
2021-04-29,59.314,59.564050967119485
2021-04-30,37.211,57.328745751859095
2021-05-01,59.273,57.52317118595333
2021-05-02,69.872,58.75805412040609
2021-05-03,56.551,58.537348699832535
2021-05-04,53.337,58.017313811754164
2021-05-05,59.806,58.19618243618027
2021-05-06,57.026,58.07916418926411
2021-05-07,68.564,59.127647796933815
2021-05-08,63.476,59.562483027167566
2021-05-09,55.486,59.15483471607499
2021-05-10,56.095,58.84885123880924
2021-05-11,68.737,59.837666131384964
2021-05-12,55.563,59.41019951184365
2021-05-14,59.32008940163268,59.401188500701075
2021-05-14,59.438,59.40486965067563
2021-05-15,43.956,57.859982668738915
2021-05-16,67.09,58.78298441093575
2021-05-17,48.828,57.78748596103731
2021-05-18,82.102,60.218937384288424
2021-05-19,51.863,59.38334363987324
2021-05-20,60.399,59.48490927654078
2021-05-21,47.983,58.334718342212156
2021-05-22,57.325,58.2337465074636
2021-05-23,57.747,58.18507185648844
2021-05-24,53.15,57.68156466870957
2021-05-25,63.905,58.303908204208085
2021-05-26,56.927,58.16621738331546
2021-05-27,69.539,59.303495648491214
2021-05-28,59.943,59.36744608381959
2021-05-31,51.16969968043719,58.54767144143355
2021-05-31,54.948,58.187704296480916
2021-06-01,64.314,58.80033386807241
2021-06-02,54.612,58.38150048050245
2021-06-03,53.358,57.87915043162888
2021-06-04,59.001,57.99133538863146
2021-06-05,66.421,58.83430185088739
2021-06-06,59.632,58.914071665893964
2021-06-07,51.299,58.15256449848571
2021-06-08,55.263,57.86360804835749
2021-06-09,56.359,57.7131472433907
2021-06-10,61.498,58.09163251934834
2021-06-12,59.59941639755266,58.242410907275136
2021-06-12,53.544,57.772569816249295
2021-06-13,52.89,57.28431283434534
2021-06-14,61.657,57.7215815511357
