Date,Flights climbed(count),Flights climbed(count) MOVING AVERAGE
2021-02-10,6.0,7.17823982182857
2021-02-11,4.0,6.860365212420749
2021-02-12,5.0,6.674302020672417
2021-02-13,5.0,6.506850216148919
2021-02-14,7.0,6.556170920978926
2021-02-15,7.0,6.600558467187696
2021-02-16,8.0,6.740515782909854
2021-02-17,10.0,7.066491795716848
2021-02-18,8.0,7.159849727904856
2021-02-19,7.0,7.143863659115677
2021-02-20,8.0,7.229482576203966
2021-02-21,1.0,6.606499722298119
2021-02-22,15.0,7.445891702844285
2021-02-23,8.0,7.501305025159829
2021-02-24,7.0,7.451172493090149
2021-02-25,12.0,7.9060718182151914
2021-02-26,6.0,7.715458385826499
2021-02-27,7.0,7.643910435673134
2021-02-28,10.0,7.879525650375522
2021-03-01,5.0,7.591566201592766
2021-03-02,9.0,7.732412611706412
2021-03-03,2.0,7.159160250501377
2021-03-04,8.0,7.243245690802641
2021-03-05,11.0,7.618927013998573
2021-03-06,9.0,7.757036262123504
2021-03-07,12.0,8.18133802634037
2021-03-08,10.0,8.363206303153888
2021-03-09,8.0,8.326885299079745
2021-03-10,6.0,8.094194614133254
2021-03-11,4.0,7.684771740078565
2021-03-12,10.0,7.916296302903979
2021-03-13,8.0,7.924666729126943
2021-03-14,12.0,8.332202532563214
2021-03-15,7.0,8.198981550753784
2021-03-16,10.0,8.379084282122587
2021-03-17,9.0,8.441176128958132
2021-03-18,8.0,8.397058340176894
2021-03-19,13.0,8.857354157724133
2021-03-20,18.0,9.771621694346521
2021-03-21,13.0,10.094460463185097
2021-03-22,7.0,9.785013607449766
2021-03-23,8.0,9.606511826490115
2021-03-24,7.0,9.345860091596107
2021-03-25,7.0,9.111273635118248
2021-03-26,10.0,9.200146424125792
2021-03-27,11.0,9.380132059707933
2021-03-28,9.0,9.342118800895497
2021-03-29,8.0,9.207906752896466
2021-03-30,13.0,9.58711650458504
2021-03-31,10.0,9.628404895967021
2021-04-01,5.0,9.16556398424346
2021-04-02,13.0,9.549007900561772
2021-04-03,9.0,9.494107069947722
2021-04-04,7.0,9.244696197126364
2021-04-05,11.0,9.420226682448678
2021-04-06,13.0,9.778204206991614
2021-04-07,9.0,9.70038374857346
2021-04-08,5.0,9.230345168674356
2021-04-09,5.0,8.80731048572311
2021-04-10,7.0,8.626579373291118
2021-04-11,6.0,8.363921352434984
2021-04-12,6.0,8.1275291495346
2021-04-13,10.0,8.31477628281328
2021-04-14,2.0,7.683298508138404
2021-04-15,8.0,7.714968663932359
2021-04-16,7.0,7.643471784113452
2021-04-17,5.0,7.379124561026943
2021-04-18,7.0,7.341212099157701
2021-04-19,10.0,7.607090925638476
2021-04-20,8.0,7.64638183791536
2021-04-21,12.0,8.081743702397661
2021-04-22,7.0,7.973569321362753
2021-04-23,10.0,8.176212407426766
2021-04-24,12.0,8.558591197592932
2021-04-25,8.0,8.502732073769902
2021-04-26,5.0,8.152458843458852
2021-04-27,7.0,8.03721295232184
2021-04-28,9.0,8.133491662195755
2021-04-29,17.0,9.020142538297009
2021-04-30,7.0,8.81812827578918
2021-05-01,5.0,8.43631543344854
2021-05-02,5.0,8.09268387814669
2021-05-03,9.0,8.183415493173408
2021-05-04,4.0,7.765073932065219
2021-05-05,7.0,7.68856653691799
2021-05-06,13.0,8.219709895352002
2021-05-07,11.0,8.497738911529373
2021-05-08,13.0,8.94796502870202
2021-05-09,14.0,9.453168534239824
2021-05-10,6.0,9.107851675643502
2021-05-11,5.0,8.69706650254149
2021-05-12,9.0,8.727359852654878
2021-05-13,7.0,8.554623865503226
2021-05-14,10.0,8.699161480373334
2021-05-15,7.0,8.529245330833147
2021-05-16,8.0,8.476320797328542
2021-05-17,10.0,8.628688718687279
2021-05-18,7.0,8.46581984576841
2021-05-19,7.0,8.319237860340955
2021-05-20,8.0,8.28731407414013
2021-05-21,7.0,8.158582666121026
2021-05-22,20.0,9.34272440451829
2021-05-23,9.0,9.308451963935974
2021-05-24,3.0,8.67760676538072
2021-05-25,4.0,8.209846087400098
2021-05-26,10.0,8.388861479156956
2021-05-27,2.0,7.749975329645325
2021-05-28,8.0,7.774977796737003
2021-05-29,8.0,7.797480017108834
