Date,Time in bed(hr)
2021-02-18 07:57:06 - 2021-02-18 07:58:20,0.021
2021-02-18 08:00:04 - 2021-02-18 08:01:51,0.030
2021-02-19 01:48:16 - 2021-02-19 07:31:38,5.723
2021-02-19 07:47:25 - 2021-02-19 07:47:49,0.007
2021-02-19 07:49:09 - 2021-02-19 07:49:16,0.002
2021-02-19 07:49:17 - 2021-02-19 07:49:18,0.000
2021-02-20 00:25:37 - 2021-02-20 07:22:32,6.949
2021-02-21 02:39:36 - 2021-02-21 07:34:48,4.920
2021-02-22 02:33:18 - 2021-02-22 07:31:53,4.977
2021-02-22 23:52:21 - 2021-02-23 07:31:36,7.654
2021-02-23 23:30:00 - 2021-02-24 07:30:47,8.013
2021-02-24 23:30:00 - 2021-02-25 07:30:15,8.004
2021-02-26 00:20:21 - 2021-02-26 07:30:54,7.176
2021-02-27 02:15:51 - 2021-02-27 06:59:53,4.734
2021-02-27 06:59:54 - 2021-02-27 07:30:34,0.511
2021-02-28 00:27:45 - 2021-02-28 07:30:33,7.047
2021-02-28 23:48:34 - 2021-03-01 07:31:02,7.708
2021-03-01 07:37:11 - 2021-03-01 07:37:26,0.004
2021-03-01 07:41:50 - 2021-03-01 07:41:56,0.002
2021-03-02 00:07:13 - 2021-03-02 06:50:07,6.715
2021-03-02 07:04:25 - 2021-03-02 07:04:59,0.009
2021-03-03 01:23:17 - 2021-03-03 06:58:19,5.584
2021-03-03 07:03:16 - 2021-03-03 07:03:19,0.001
2021-03-03 07:26:09 - 2021-03-03 07:26:14,0.001
2021-03-03 07:27:38 - 2021-03-03 07:27:41,0.001
2021-03-03 07:27:43 - 2021-03-03 07:27:46,0.001
2021-03-03 23:35:52 - 2021-03-04 07:30:34,7.912
2021-03-04 23:51:42 - 2021-03-05 06:43:26,6.862
2021-03-05 06:44:18 - 2021-03-05 06:44:48,0.008
2021-03-05 06:55:15 - 2021-03-05 06:55:18,0.001
2021-03-05 07:01:48 - 2021-03-05 07:02:31,0.012
2021-03-05 07:15:36 - 2021-03-05 07:15:42,0.002
2021-03-06 02:15:44 - 2021-03-06 07:33:08,5.290
2021-03-07 04:10:51 - 2021-03-07 08:00:33,3.828
2021-03-08 23:49:30 - 2021-03-09 07:30:52,7.690
2021-03-10 02:57:29 - 2021-03-10 07:13:29,4.267
