Date,Headphone sound levels(dBASPL)
2020-11-25 21:26:12 - 2020-11-25 21:27:42,62.416
2020-11-25 21:27:50 - 2020-11-25 21:31:09,46.535
2020-11-26 09:52:57 - 2020-11-26 09:53:00,39.405
2020-11-26 09:53:17 - 2020-11-26 10:22:51,50.177
2020-11-26 10:22:51 - 2020-11-26 10:33:44,52.494
2020-11-26 15:56:32 - 2020-11-26 15:57:08,56.944
2020-11-26 15:58:48 - 2020-11-26 16:06:21,64.152
2020-11-26 16:06:54 - 2020-11-26 16:09:19,55.972
2020-11-26 16:11:04 - 2020-11-26 16:11:27,65.236
2020-11-26 16:11:30 - 2020-11-26 16:15:07,58.229
2020-11-26 16:15:13 - 2020-11-26 16:15:39,49.181
2020-11-26 16:16:58 - 2020-11-26 16:17:57,0.000
2020-11-26 16:22:19 - 2020-11-26 16:28:33,54.365
2020-11-26 16:29:01 - 2020-11-26 16:30:49,66.152
2020-11-26 16:30:49 - 2020-11-26 16:32:59,71.350
2020-11-26 16:32:59 - 2020-11-26 16:36:14,70.448
2020-11-26 16:36:14 - 2020-11-26 16:36:20,70.427
2020-11-26 16:36:20 - 2020-11-26 16:36:53,74.801
2020-11-26 16:36:54 - 2020-11-26 16:36:57,78.107
2020-11-26 16:36:57 - 2020-11-26 16:37:00,75.788
2020-11-26 16:37:00 - 2020-11-26 16:37:06,75.066
2020-11-26 16:37:06 - 2020-11-26 16:37:09,72.896
2020-11-26 16:37:09 - 2020-11-26 16:37:39,72.290
2020-11-26 16:37:39 - 2020-11-26 16:37:42,70.736
2020-11-26 16:37:42 - 2020-11-26 16:37:48,75.813
2020-11-26 16:37:48 - 2020-11-26 16:41:39,71.988
2020-11-26 16:43:24 - 2020-11-26 16:57:44,76.008
2020-11-26 16:57:44 - 2020-11-26 16:57:47,74.521
2020-11-26 16:57:47 - 2020-11-26 16:57:50,81.011
2020-11-26 16:57:50 - 2020-11-26 16:57:59,78.946
2020-11-26 16:57:59 - 2020-11-26 17:04:37,72.168
2020-11-26 17:04:37 - 2020-11-26 17:05:55,72.261
2020-11-26 17:05:55 - 2020-11-26 17:06:28,71.896
2020-11-26 17:06:28 - 2020-11-26 17:12:17,67.964
2020-11-27 10:46:25 - 2020-11-27 11:16:22,62.018
2020-11-27 11:16:22 - 2020-11-27 11:30:05,65.498
2020-11-27 11:32:14 - 2020-11-27 11:32:17,61.268
2020-11-27 11:32:30 - 2020-11-27 11:39:06,55.339
2020-11-27 11:39:44 - 2020-11-27 11:48:24,68.399
2020-11-27 11:49:42 - 2020-11-27 11:50:15,66.202
2020-11-27 11:50:15 - 2020-11-27 11:50:21,65.230
2020-11-27 11:50:21 - 2020-11-27 11:58:29,74.159
2020-11-27 11:58:29 - 2020-11-27 11:59:23,72.702
2020-11-27 11:59:23 - 2020-11-27 12:10:40,73.778
2020-11-27 12:10:40 - 2020-11-27 12:12:13,71.561
2020-11-27 12:12:13 - 2020-11-27 12:12:22,72.018
2020-11-27 12:12:22 - 2020-11-27 12:14:35,71.552
2020-11-27 12:14:35 - 2020-11-27 12:15:05,72.477
2020-11-27 12:15:05 - 2020-11-27 12:17:53,72.918
2020-11-27 12:17:53 - 2020-11-27 12:17:56,77.110
2020-11-27 12:41:33 - 2020-11-27 12:41:55,72.826
2020-11-27 12:41:55 - 2020-11-27 12:42:16,67.926
2020-11-27 12:42:16 - 2020-11-27 12:46:20,56.525
2020-11-27 12:47:49 - 2020-11-27 12:47:55,66.206
2020-11-27 12:48:18 - 2020-11-27 12:53:25,57.451
2020-11-27 12:53:32 - 2020-11-27 12:53:41,45.895
2020-11-27 12:54:19 - 2020-11-27 12:54:49,49.012
2020-11-27 12:54:49 - 2020-11-27 12:55:07,46.049
2020-11-27 12:55:07 - 2020-11-27 12:55:50,45.539
2020-11-27 12:55:50 - 2020-11-27 12:56:01,46.834
2020-11-27 12:56:01 - 2020-11-27 12:57:02,47.902
2020-11-27 12:57:02 - 2020-11-27 12:57:26,48.839
2020-11-27 12:57:26 - 2020-11-27 12:58:35,47.532
2020-11-27 12:58:35 - 2020-11-27 12:58:44,47.313
2020-11-27 12:58:44 - 2020-11-27 13:21:30,49.397
2020-11-27 13:21:30 - 2020-11-27 13:24:22,47.256
2020-11-27 13:24:22 - 2020-11-27 13:24:25,48.528
2020-11-27 13:24:29 - 2020-11-27 13:24:41,44.529
2020-11-27 13:24:41 - 2020-11-27 13:25:23,47.718
2020-11-27 13:25:23 - 2020-11-27 13:32:51,47.258
2020-11-27 15:59:19 - 2020-11-27 15:59:22,59.353
2020-11-27 16:01:46 - 2020-11-27 16:08:24,51.583
2020-11-27 16:08:35 - 2020-11-27 16:10:35,55.587
2020-11-27 16:10:35 - 2020-11-27 16:10:49,46.976
2020-11-27 16:10:52 - 2020-11-27 16:18:19,65.434
2020-11-27 16:20:29 - 2020-11-27 16:20:47,56.846
2020-11-27 16:22:59 - 2020-11-27 16:23:26,50.401
2020-11-27 16:27:31 - 2020-11-27 16:31:53,51.203
2020-11-27 20:25:02 - 2020-11-27 20:27:44,66.548
2020-11-27 20:27:44 - 2020-11-27 20:27:47,74.718
2020-11-27 20:27:47 - 2020-11-27 20:28:35,73.994
2020-11-27 20:28:35 - 2020-11-27 20:28:38,73.572
2020-11-27 20:28:38 - 2020-11-27 20:33:46,75.638
2020-11-27 20:33:46 - 2020-11-27 20:33:55,74.158
2020-11-27 20:33:55 - 2020-11-27 20:37:33,74.609
2020-11-27 20:49:12 - 2020-11-27 20:51:18,64.439
2020-11-27 20:51:27 - 2020-11-27 21:10:46,60.255
2020-11-28 11:13:13 - 2020-11-28 11:13:58,58.506
2020-11-28 11:13:58 - 2020-11-28 11:20:36,60.701
2020-11-28 11:20:36 - 2020-11-28 11:21:12,50.588
2020-11-28 11:21:12 - 2020-11-28 11:28:16,56.558
2020-11-28 11:28:19 - 2020-11-28 11:28:49,60.145
2020-11-28 11:28:49 - 2020-11-28 11:28:52,53.351
2020-11-28 11:28:52 - 2020-11-28 11:38:12,56.038
2020-11-28 11:38:16 - 2020-11-28 11:49:18,51.153
2020-11-28 11:49:18 - 2020-11-28 12:13:02,57.249
2020-11-28 12:13:02 - 2020-11-28 12:25:19,58.761
2020-11-28 12:25:19 - 2020-11-28 12:25:22,55.797
2020-11-28 15:53:43 - 2020-11-28 15:59:14,63.547
2020-11-28 19:13:31 - 2020-11-28 19:19:16,70.432
2020-11-28 19:19:16 - 2020-11-28 19:19:22,70.005
2020-11-28 19:19:22 - 2020-11-28 19:20:10,69.409
2020-11-28 19:20:10 - 2020-11-28 19:20:13,63.667
2020-11-28 19:20:13 - 2020-11-28 19:21:10,71.633
2020-11-28 19:21:10 - 2020-11-28 19:21:16,70.590
2020-11-28 19:21:16 - 2020-11-28 19:22:41,68.564
2020-11-28 19:22:41 - 2020-11-28 19:23:32,70.820
2020-11-28 19:23:32 - 2020-11-28 19:23:50,68.645
2020-11-29 03:02:54 - 2020-11-29 03:04:49,57.477
2020-11-29 15:14:19 - 2020-11-29 15:19:47,57.838
2020-11-29 15:20:05 - 2020-11-29 15:23:03,71.051
2020-11-29 15:23:03 - 2020-11-29 15:23:18,70.961
2020-11-29 15:28:46 - 2020-11-29 15:28:49,75.606
2020-11-29 15:28:49 - 2020-11-29 15:45:55,69.026
2020-11-29 15:45:55 - 2020-11-29 15:46:04,71.657
2020-11-29 16:14:13 - 2020-11-29 16:18:17,68.321
2020-11-29 16:18:17 - 2020-11-29 16:18:44,68.793
2020-11-29 16:18:44 - 2020-11-29 16:34:05,69.373
2020-11-29 16:34:05 - 2020-11-29 16:34:11,67.184
