Date,Headphone sound levels(dBASPL)
2021-05-13 18:36:15 - 2021-05-13 18:39:18,59.768
2021-05-13 18:39:18 - 2021-05-13 18:39:24,61.778
2021-05-13 18:39:24 - 2021-05-13 18:39:27,60.484
2021-05-13 18:39:27 - 2021-05-13 18:46:02,59.862
2021-05-13 18:46:02 - 2021-05-13 18:46:08,60.379
2021-05-13 18:46:08 - 2021-05-13 18:48:17,60.071
2021-05-13 18:48:17 - 2021-05-13 18:48:32,69.683
2021-05-13 18:48:32 - 2021-05-13 18:55:41,59.922
2021-05-13 18:55:41 - 2021-05-13 18:55:53,59.640
2021-05-13 18:55:53 - 2021-05-13 18:59:14,58.852
2021-05-13 18:59:14 - 2021-05-13 19:01:03,60.781
2021-05-13 19:01:03 - 2021-05-13 19:02:42,59.943
2021-05-13 19:02:42 - 2021-05-13 19:02:54,60.504
2021-05-13 19:02:54 - 2021-05-13 19:04:24,59.596
2021-05-13 19:04:24 - 2021-05-13 19:04:27,60.751
2021-05-13 19:04:27 - 2021-05-13 19:07:40,60.000
2021-05-13 19:07:40 - 2021-05-13 19:07:58,61.541
2021-05-13 19:07:58 - 2021-05-13 19:21:02,60.484
2021-05-13 19:21:02 - 2021-05-13 19:21:08,60.307
2021-05-13 19:21:08 - 2021-05-13 19:21:44,60.473
2021-05-13 19:21:44 - 2021-05-13 19:21:47,60.983
2021-05-13 19:21:47 - 2021-05-13 19:22:23,60.182
2021-05-13 19:22:23 - 2021-05-13 19:22:29,60.803
2021-05-13 19:22:29 - 2021-05-13 19:25:36,60.634
2021-05-13 19:25:36 - 2021-05-13 19:26:50,60.023
2021-05-13 19:27:46 - 2021-05-13 19:28:25,60.113
2021-05-13 19:28:25 - 2021-05-13 19:28:31,61.440
2021-05-13 19:28:31 - 2021-05-13 19:30:58,60.410
2021-05-13 19:30:58 - 2021-05-13 19:31:53,60.728
2021-05-13 19:31:53 - 2021-05-13 19:31:56,60.641
2021-05-13 19:31:56 - 2021-05-13 19:32:36,61.900
2021-05-13 19:34:12 - 2021-05-13 19:34:15,56.821
2021-05-13 19:34:15 - 2021-05-13 19:36:48,59.936
2021-05-13 19:36:48 - 2021-05-13 19:36:51,58.767
2021-05-13 19:36:51 - 2021-05-13 19:37:00,57.868
2021-05-13 19:37:00 - 2021-05-13 19:37:03,58.195
2021-05-13 19:37:03 - 2021-05-13 19:38:57,60.563
2021-05-13 19:38:57 - 2021-05-13 19:40:40,60.037
2021-05-13 19:40:40 - 2021-05-13 19:41:46,60.518
2021-05-13 19:41:46 - 2021-05-13 19:43:46,61.163
2021-05-13 19:43:46 - 2021-05-13 19:44:26,61.169
2021-05-13 19:44:26 - 2021-05-13 19:44:49,69.333
2021-05-13 19:44:54 - 2021-05-13 19:50:01,60.965
2021-05-13 19:50:01 - 2021-05-13 19:53:29,60.412
2021-05-13 19:53:29 - 2021-05-13 19:55:11,60.056
2021-05-13 19:55:11 - 2021-05-13 19:56:15,63.826
2021-05-13 20:00:35 - 2021-05-13 20:02:15,54.331
2021-05-13 20:03:08 - 2021-05-13 20:04:18,74.575
2021-05-13 20:04:18 - 2021-05-13 20:04:27,76.003
2021-05-13 20:04:27 - 2021-05-13 20:04:48,72.922
2021-05-13 20:04:48 - 2021-05-13 20:04:51,78.160
2021-05-13 20:04:51 - 2021-05-13 20:05:37,74.798
2021-05-13 20:05:50 - 2021-05-13 20:05:54,73.322
2021-05-13 22:55:18 - 2021-05-13 23:13:34,66.296
2021-05-13 23:18:28 - 2021-05-13 23:25:59,66.478
2021-05-14 08:27:56 - 2021-05-14 08:40:48,59.438
2021-05-14 09:56:26 - 2021-05-14 09:56:27,61.796
2021-05-14 09:58:47 - 2021-05-14 10:23:58,57.611
2021-05-14 10:24:05 - 2021-05-14 10:24:11,50.450
2021-05-14 10:24:17,0.000
2021-05-14 10:52:39 - 2021-05-14 10:54:19,66.315
2021-05-14 10:54:51 - 2021-05-14 11:22:35,55.886
2021-05-14 11:22:35 - 2021-05-14 11:28:57,61.345
2021-05-14 11:28:57 - 2021-05-14 11:29:00,50.886
2021-05-14 11:29:00,20.760
2021-05-14 11:33:11 - 2021-05-14 11:46:18,58.551
2021-05-14 11:57:43 - 2021-05-14 12:01:01,62.098
2021-05-14 12:01:48 - 2021-05-14 12:14:47,56.671
2021-05-14 12:14:47 - 2021-05-14 12:19:03,56.113
2021-05-14 12:19:03 - 2021-05-14 12:19:42,56.475
2021-05-14 12:19:42 - 2021-05-14 12:29:14,52.931
2021-05-14 12:29:24 - 2021-05-14 12:29:27,0.000
2021-05-14 12:29:44 - 2021-05-14 12:30:11,53.940
2021-05-14 12:34:50 - 2021-05-14 12:35:48,56.416
2021-05-14 12:35:48 - 2021-05-14 12:35:51,38.403
2021-05-14 12:35:56 - 2021-05-14 12:39:26,52.587
2021-05-14 16:24:36 - 2021-05-14 16:26:12,63.318
2021-05-14 16:26:12 - 2021-05-14 16:26:48,61.063
2021-05-14 16:26:48 - 2021-05-14 16:27:54,60.842
2021-05-14 16:27:54 - 2021-05-14 16:28:18,61.229
2021-05-14 16:30:17 - 2021-05-14 16:30:38,47.494
2021-05-14 16:30:38 - 2021-05-14 16:31:05,53.906
2021-05-14 16:31:05 - 2021-05-14 16:34:27,50.614
2021-05-14 16:34:27 - 2021-05-14 16:34:46,47.427
2021-05-14 16:34:46 - 2021-05-14 16:34:52,52.034
2021-05-14 16:34:53,50.730
2021-05-14 16:34:53 - 2021-05-14 16:35:05,50.404
2021-05-14 16:35:05 - 2021-05-14 16:36:49,47.813
2021-05-14 17:38:00 - 2021-05-14 17:41:00,63.445
2021-05-14 17:41:00 - 2021-05-14 17:41:09,65.296
2021-05-14 17:41:09 - 2021-05-14 17:41:15,64.904
2021-05-14 17:41:15 - 2021-05-14 17:41:27,66.959
2021-05-14 17:41:27 - 2021-05-14 17:41:29,66.811
2021-05-14 17:52:05,0.000
2021-05-14 17:52:08 - 2021-05-14 17:52:11,52.782
2021-05-14 17:52:28 - 2021-05-14 17:53:52,49.435
2021-05-14 17:53:52 - 2021-05-14 17:54:46,47.077
2021-05-14 17:54:46 - 2021-05-14 18:16:19,56.617
2021-05-14 18:16:29 - 2021-05-14 18:16:33,61.531
2021-05-14 18:16:34 - 2021-05-14 18:16:35,0.000
2021-05-14 18:16:38 - 2021-05-14 18:16:41,58.496
2021-05-14 18:16:41 - 2021-05-14 18:17:00,59.912
2021-05-14 18:17:05 - 2021-05-14 18:19:05,58.179
2021-05-14 18:25:57 - 2021-05-14 18:26:00,51.937
2021-05-14 18:31:11 - 2021-05-14 18:31:17,69.739
2021-05-14 18:31:17 - 2021-05-14 18:31:23,71.118
2021-05-14 18:31:23 - 2021-05-14 18:36:07,77.102
2021-05-14 18:36:07 - 2021-05-14 18:36:13,75.308
2021-05-14 18:36:13 - 2021-05-14 18:37:19,74.211
2021-05-14 18:39:03 - 2021-05-14 18:39:50,56.709
2021-05-14 18:42:12 - 2021-05-14 18:48:19,73.374
2021-05-14 18:48:19 - 2021-05-14 18:48:22,70.541
2021-05-14 18:48:22 - 2021-05-14 18:48:25,72.989
2021-05-14 18:48:25 - 2021-05-14 18:48:40,76.854
2021-05-14 18:48:40 - 2021-05-14 18:56:14,77.768
2021-05-14 18:57:09 - 2021-05-14 18:57:29,72.166
2021-05-14 18:57:38 - 2021-05-14 18:57:41,73.716
2021-05-14 19:54:04 - 2021-05-14 19:59:10,61.021
2021-05-14 19:59:10 - 2021-05-14 20:00:35,56.350
2021-05-14 20:00:35 - 2021-05-14 20:00:37,49.722
2021-05-14 20:01:42,0.000
2021-05-14 20:02:54 - 2021-05-14 20:04:06,66.156
2021-05-14 20:04:40 - 2021-05-14 20:04:41,0.000
2021-05-14 20:04:49 - 2021-05-14 20:05:55,74.692
2021-05-14 20:06:07,0.000
2021-05-14 20:06:49 - 2021-05-14 20:06:58,54.329
2021-05-14 20:07:28 - 2021-05-14 20:07:29,0.000
2021-05-14 20:08:08 - 2021-05-14 20:09:35,56.650
2021-05-14 20:09:35 - 2021-05-14 20:10:05,49.733
2021-05-14 20:10:05 - 2021-05-14 20:10:26,53.047
2021-05-14 20:10:33 - 2021-05-14 20:10:45,57.774
2021-05-14 20:10:51 - 2021-05-14 20:13:36,58.799
2021-05-14 20:13:36 - 2021-05-14 20:14:03,55.756
2021-05-14 20:14:03 - 2021-05-14 20:14:39,55.628
2021-05-14 20:14:43 - 2021-05-14 20:15:15,57.816
2021-05-14 20:15:15 - 2021-05-14 20:17:13,56.085
2021-05-14 20:17:20 - 2021-05-14 20:18:09,54.534
2021-05-14 20:18:09 - 2021-05-14 20:22:51,60.546
2021-05-14 20:23:30 - 2021-05-14 20:27:17,72.134
2021-05-14 20:27:18 - 2021-05-14 20:27:38,69.285
2021-05-14 20:28:54 - 2021-05-14 20:29:14,73.456
2021-05-14 20:29:21 - 2021-05-14 20:29:48,73.316
2021-05-14 20:30:05 - 2021-05-14 20:36:30,58.815
2021-05-14 20:36:43 - 2021-05-14 20:47:38,61.439
2021-05-14 22:31:46 - 2021-05-14 23:01:45,58.904
2021-05-14 23:01:45 - 2021-05-14 23:09:08,56.028
2021-05-15 04:27:06 - 2021-05-15 04:56:17,43.956
2021-05-15 09:58:37 - 2021-05-15 09:59:13,61.694
2021-05-15 09:59:13 - 2021-05-15 09:59:54,65.425
2021-05-15 09:59:58,57.953
2021-05-15 10:00:05 - 2021-05-15 10:00:57,62.516
2021-05-15 10:00:57 - 2021-05-15 10:01:06,54.280
2021-05-15 10:01:06 - 2021-05-15 10:04:33,61.000
2021-05-15 10:04:33 - 2021-05-15 10:04:36,60.127
2021-05-15 10:04:36 - 2021-05-15 10:04:51,61.456
2021-05-15 10:04:51 - 2021-05-15 10:05:06,61.240
2021-05-15 10:05:06 - 2021-05-15 10:05:12,60.041
2021-05-15 10:05:12 - 2021-05-15 10:08:58,66.973
2021-05-15 10:09:04 - 2021-05-15 10:09:13,68.380
2021-05-15 10:09:13 - 2021-05-15 10:09:46,55.213
2021-05-15 10:09:46 - 2021-05-15 10:20:01,58.462
2021-05-15 10:20:18 - 2021-05-15 10:20:45,63.466
2021-05-15 10:20:45 - 2021-05-15 10:21:42,64.839
2021-05-15 10:21:42 - 2021-05-15 10:21:45,63.959
2021-05-15 10:21:45 - 2021-05-15 10:22:24,63.953
2021-05-15 10:22:25 - 2021-05-15 10:23:19,53.790
2021-05-15 10:23:20 - 2021-05-15 10:25:12,55.857
2021-05-15 10:25:18 - 2021-05-15 10:25:24,13.744
2021-05-15 10:25:28,34.708
2021-05-15 16:04:39 - 2021-05-15 16:06:42,61.464
2021-05-15 20:41:56 - 2021-05-15 20:43:31,61.556
2021-05-15 20:44:41 - 2021-05-15 20:45:59,52.132
2021-05-15 20:46:06 - 2021-05-15 20:48:15,63.507
2021-05-15 20:48:16 - 2021-05-15 20:50:10,56.029
2021-05-15 20:50:10 - 2021-05-15 20:50:13,55.355
2021-05-15 20:50:18 - 2021-05-15 20:51:12,56.600
2021-05-15 20:51:12 - 2021-05-15 20:51:21,66.535
2021-05-15 20:51:21 - 2021-05-15 20:58:30,55.722
2021-05-15 20:58:30 - 2021-05-15 21:02:03,56.304
2021-05-15 21:02:03 - 2021-05-15 21:02:12,56.767
2021-05-15 21:02:12 - 2021-05-15 21:02:21,57.431
2021-05-15 21:02:22 - 2021-05-15 21:02:30,57.646
2021-05-15 21:02:30 - 2021-05-15 21:02:40,57.014
2021-05-15 21:09:47 - 2021-05-15 21:09:51,56.059
2021-05-15 21:11:27 - 2021-05-15 21:34:44,59.147
2021-05-15 21:47:42 - 2021-05-15 21:53:01,53.810
2021-05-15 21:54:10 - 2021-05-15 21:54:31,61.114
2021-05-15 21:54:31 - 2021-05-15 22:13:50,66.867
2021-05-16 07:26:39 - 2021-05-16 07:32:28,67.090
2021-05-16 07:32:28 - 2021-05-16 07:32:52,55.073
2021-05-16 07:32:52 - 2021-05-16 07:44:18,55.457
2021-05-16 07:44:18 - 2021-05-16 07:44:27,54.480
2021-05-16 07:44:27 - 2021-05-16 07:48:26,66.158
2021-05-16 07:48:37 - 2021-05-16 08:01:20,53.759
2021-05-16 08:02:56 - 2021-05-16 08:03:11,61.830
2021-05-16 08:08:01 - 2021-05-16 08:19:09,59.788
2021-05-16 09:20:21 - 2021-05-16 09:29:44,74.018
2021-05-16 09:29:44 - 2021-05-16 09:29:50,70.501
2021-05-16 09:29:50 - 2021-05-16 09:36:55,74.947
2021-05-16 09:36:55 - 2021-05-16 09:37:07,70.305
2021-05-16 09:37:07 - 2021-05-16 10:00:19,76.783
2021-05-16 10:00:19 - 2021-05-16 10:10:18,76.731
2021-05-16 10:24:22 - 2021-05-16 10:24:25,78.251
2021-05-16 12:39:06 - 2021-05-16 12:47:17,55.630
2021-05-16 17:37:29 - 2021-05-16 17:39:10,74.101
2021-05-16 17:39:10 - 2021-05-16 17:39:13,70.584
2021-05-16 17:39:54 - 2021-05-16 17:41:32,68.671
2021-05-16 17:41:32 - 2021-05-16 17:41:35,71.126
2021-05-16 17:41:35 - 2021-05-16 17:42:26,70.151
2021-05-16 17:42:50 - 2021-05-16 17:42:53,61.961
2021-05-16 17:43:53 - 2021-05-16 17:46:18,66.617
2021-05-16 17:46:18 - 2021-05-16 17:46:30,63.147
2021-05-16 17:46:30 - 2021-05-16 17:51:58,72.415
2021-05-16 17:51:58 - 2021-05-16 17:55:41,72.812
2021-05-16 17:55:41 - 2021-05-16 18:01:43,65.605
2021-05-16 18:01:43 - 2021-05-16 18:01:55,59.445
2021-05-16 18:01:55 - 2021-05-16 18:07:14,61.697
2021-05-16 18:07:14 - 2021-05-16 18:07:17,57.476
2021-05-16 18:07:17 - 2021-05-16 18:14:26,59.101
2021-05-16 18:14:26 - 2021-05-16 18:14:41,59.663
2021-05-16 18:14:41 - 2021-05-16 18:15:29,59.300
2021-05-16 18:15:29 - 2021-05-16 18:15:38,59.224
2021-05-16 18:15:38 - 2021-05-16 18:16:20,59.144
2021-05-16 18:16:20 - 2021-05-16 18:22:02,60.352
2021-05-16 18:22:02 - 2021-05-16 18:22:53,59.440
2021-05-16 18:38:48 - 2021-05-16 18:52:25,59.527
2021-05-16 18:52:25 - 2021-05-16 19:00:20,74.554
2021-05-16 19:00:30 - 2021-05-16 19:28:41,78.061
2021-05-16 19:28:41 - 2021-05-16 19:39:43,77.375
2021-05-16 19:52:49 - 2021-05-16 19:58:53,78.667
2021-05-17 08:03:35 - 2021-05-17 08:08:15,48.828
2021-05-17 08:08:43 - 2021-05-17 08:12:27,63.708
2021-05-17 12:27:14 - 2021-05-17 12:31:29,100.179
2021-05-17 12:35:52 - 2021-05-17 12:40:12,106.199
2021-05-17 15:58:05 - 2021-05-17 16:01:10,54.818
2021-05-17 17:28:49 - 2021-05-17 17:42:34,100.003
2021-05-17 17:45:06 - 2021-05-17 17:56:50,103.548
2021-05-18 01:29:13 - 2021-05-18 01:29:25,82.102
2021-05-18 01:29:56 - 2021-05-18 01:50:41,53.340
2021-05-18 09:14:49 - 2021-05-18 09:31:27,58.529
2021-05-18 09:36:20 - 2021-05-18 09:37:06,53.398
2021-05-18 09:38:49 - 2021-05-18 09:39:09,57.561
2021-05-18 09:39:22 - 2021-05-18 09:39:32,24.903
2021-05-18 09:39:32 - 2021-05-18 09:48:34,55.298
2021-05-18 09:48:34 - 2021-05-18 10:14:20,53.388
2021-05-18 10:14:25 - 2021-05-18 10:14:28,19.956
2021-05-18 10:14:31 - 2021-05-18 10:14:34,24.566
2021-05-18 10:14:35 - 2021-05-18 10:16:44,78.001
2021-05-18 10:16:49 - 2021-05-18 10:36:23,62.958
2021-05-18 10:37:03 - 2021-05-18 11:06:11,72.019
2021-05-18 11:06:11 - 2021-05-18 11:24:07,72.418
2021-05-18 15:10:26 - 2021-05-18 15:23:14,56.359
2021-05-18 15:23:38 - 2021-05-18 15:27:09,60.831
2021-05-18 15:52:41 - 2021-05-18 16:04:16,59.385
2021-05-18 16:04:16 - 2021-05-18 16:05:22,60.201
2021-05-18 16:05:22 - 2021-05-18 16:08:06,57.842
2021-05-18 16:08:06 - 2021-05-18 16:08:15,53.242
2021-05-18 16:08:15 - 2021-05-18 16:08:18,54.553
2021-05-18 16:08:19 - 2021-05-18 16:08:21,56.965
2021-05-18 16:08:21 - 2021-05-18 16:08:24,58.366
2021-05-18 16:08:24 - 2021-05-18 16:14:17,56.472
2021-05-18 16:14:17 - 2021-05-18 16:14:38,54.507
2021-05-18 16:14:38 - 2021-05-18 16:15:17,55.072
2021-05-18 16:15:17 - 2021-05-18 16:15:20,58.977
2021-05-18 16:15:20 - 2021-05-18 16:15:47,57.194
2021-05-18 16:15:47 - 2021-05-18 16:20:55,60.174
2021-05-18 16:35:03 - 2021-05-18 16:45:35,58.938
2021-05-18 16:45:35 - 2021-05-18 16:45:38,55.262
2021-05-18 16:45:38 - 2021-05-18 16:50:36,58.652
2021-05-18 16:50:36 - 2021-05-18 16:59:42,57.229
2021-05-18 16:59:42 - 2021-05-18 16:59:43,52.702
2021-05-18 16:59:44,0.000
2021-05-18 17:01:15 - 2021-05-18 17:02:25,47.154
2021-05-18 21:44:02 - 2021-05-18 21:44:32,48.063
2021-05-18 21:45:06 - 2021-05-18 21:50:34,68.866
2021-05-18 21:52:01 - 2021-05-18 21:52:04,64.649
2021-05-18 21:53:01 - 2021-05-18 21:53:42,62.647
2021-05-18 22:28:47 - 2021-05-18 22:29:05,60.262
2021-05-18 22:29:47 - 2021-05-18 22:33:12,60.017
2021-05-18 22:33:19 - 2021-05-18 22:33:22,50.550
2021-05-18 22:33:22 - 2021-05-18 22:33:25,52.640
2021-05-18 22:33:25 - 2021-05-18 22:33:28,51.910
2021-05-18 22:33:28 - 2021-05-18 22:33:29,0.000
2021-05-18 22:44:08 - 2021-05-18 22:49:58,51.390
2021-05-18 22:50:15 - 2021-05-18 22:54:00,66.061
2021-05-19 07:39:35 - 2021-05-19 08:02:15,51.863
2021-05-19 08:02:15 - 2021-05-19 08:07:37,50.672
2021-05-19 08:07:37 - 2021-05-19 08:07:49,49.073
2021-05-19 08:07:50 - 2021-05-19 08:18:13,51.550
2021-05-19 08:18:13 - 2021-05-19 08:28:00,51.921
2021-05-19 08:40:44 - 2021-05-19 08:59:50,59.568
2021-05-19 09:02:50 - 2021-05-19 09:04:51,59.840
2021-05-19 09:31:31 - 2021-05-19 09:31:34,56.073
2021-05-19 09:31:50 - 2021-05-19 09:31:56,55.808
2021-05-19 15:03:16 - 2021-05-19 15:23:49,60.886
2021-05-19 15:24:14 - 2021-05-19 15:24:32,53.583
2021-05-19 15:24:33 - 2021-05-19 15:25:54,60.313
2021-05-19 15:27:37 - 2021-05-19 15:36:19,53.537
2021-05-19 15:36:25 - 2021-05-19 15:38:21,67.598
2021-05-20 08:16:17 - 2021-05-20 08:18:27,60.399
2021-05-20 08:18:27 - 2021-05-20 08:18:28,49.653
2021-05-20 08:18:35 - 2021-05-20 08:41:39,59.841
2021-05-20 08:44:50 - 2021-05-20 08:44:58,52.488
2021-05-20 08:45:01,0.000
2021-05-20 08:45:34 - 2021-05-20 09:04:52,62.821
2021-05-20 09:05:17 - 2021-05-20 09:06:53,55.496
2021-05-20 09:06:53 - 2021-05-20 09:10:36,56.311
2021-05-20 09:10:36 - 2021-05-20 09:35:30,56.350
2021-05-20 09:35:30 - 2021-05-20 09:44:57,54.098
2021-05-20 09:44:57 - 2021-05-20 09:45:00,51.051
2021-05-20 09:53:04 - 2021-05-20 09:53:43,71.489
2021-05-20 09:53:43 - 2021-05-20 09:54:01,60.524
2021-05-20 09:54:01 - 2021-05-20 09:54:04,57.102
2021-05-20 09:54:04 - 2021-05-20 09:54:05,49.251
2021-05-20 09:54:12 - 2021-05-20 10:00:36,69.592
2021-05-20 10:00:36 - 2021-05-20 10:00:39,70.878
2021-05-20 10:10:25 - 2021-05-20 10:40:22,72.056
2021-05-20 10:40:22 - 2021-05-20 10:59:32,67.959
2021-05-20 10:59:32 - 2021-05-20 10:59:53,69.095
2021-05-20 10:59:53 - 2021-05-20 10:59:59,70.204
2021-05-20 10:59:59 - 2021-05-20 11:00:00,66.638
2021-05-20 11:00:03 - 2021-05-20 11:00:24,70.395
2021-05-20 11:00:24 - 2021-05-20 11:09:02,69.460
2021-05-20 11:09:02 - 2021-05-20 11:09:03,68.655
2021-05-20 11:09:06 - 2021-05-20 11:10:00,70.546
2021-05-20 11:10:00 - 2021-05-20 11:14:13,71.430
2021-05-20 11:14:13 - 2021-05-20 11:14:16,71.648
2021-05-20 11:14:16 - 2021-05-20 11:14:34,67.826
2021-05-20 11:14:34 - 2021-05-20 11:14:43,65.452
2021-05-20 11:14:43 - 2021-05-20 11:14:46,69.010
2021-05-20 11:15:14 - 2021-05-20 11:16:03,56.728
2021-05-20 11:16:05 - 2021-05-20 11:18:04,67.555
2021-05-20 11:18:04 - 2021-05-20 11:18:06,70.037
2021-05-20 11:18:08 - 2021-05-20 11:19:44,65.978
2021-05-20 11:20:05 - 2021-05-20 11:20:27,58.039
2021-05-20 11:20:28 - 2021-05-20 11:23:18,66.567
2021-05-20 11:23:45 - 2021-05-20 11:40:54,56.031
2021-05-20 11:40:54 - 2021-05-20 11:42:26,68.305
2021-05-20 11:42:31 - 2021-05-20 11:42:43,72.680
2021-05-20 11:42:46 - 2021-05-20 11:42:49,80.134
2021-05-20 11:42:54 - 2021-05-20 11:46:01,64.324
2021-05-20 12:11:17 - 2021-05-20 12:15:05,55.437
2021-05-20 12:15:16 - 2021-05-20 12:19:35,60.409
2021-05-20 13:39:31 - 2021-05-20 13:51:01,97.422
2021-05-20 13:51:01 - 2021-05-20 13:51:28,98.092
2021-05-20 13:51:28 - 2021-05-20 13:54:41,96.828
2021-05-20 14:13:03 - 2021-05-20 14:17:49,96.423
2021-05-20 14:17:49 - 2021-05-20 14:22:52,95.924
2021-05-20 18:42:29 - 2021-05-20 18:56:23,54.867
2021-05-20 18:56:23 - 2021-05-20 18:56:50,57.796
2021-05-20 18:56:50 - 2021-05-20 18:57:41,49.305
2021-05-20 18:57:41 - 2021-05-20 18:57:50,52.694
2021-05-20 18:57:50 - 2021-05-20 18:58:38,57.856
2021-05-20 18:58:38 - 2021-05-20 18:59:08,60.412
2021-05-20 18:59:08 - 2021-05-20 18:59:41,50.959
2021-05-20 18:59:41 - 2021-05-20 19:01:57,56.006
2021-05-20 19:01:57 - 2021-05-20 19:02:03,56.163
2021-05-20 19:02:03 - 2021-05-20 19:02:42,58.092
2021-05-20 19:02:42 - 2021-05-20 19:02:54,53.565
2021-05-20 19:02:54 - 2021-05-20 19:27:08,49.895
2021-05-20 23:24:15 - 2021-05-20 23:25:59,54.452
2021-05-21 07:21:33 - 2021-05-21 07:35:11,47.983
2021-05-21 07:36:26 - 2021-05-21 07:36:47,60.848
2021-05-21 07:36:58 - 2021-05-21 07:52:46,48.372
2021-05-21 07:52:46 - 2021-05-21 07:56:47,47.102
2021-05-21 07:56:47 - 2021-05-21 07:57:56,48.961
2021-05-21 07:58:06 - 2021-05-21 07:59:57,53.173
2021-05-21 07:59:57 - 2021-05-21 08:00:00,39.037
2021-05-21 08:00:00,27.806
2021-05-21 08:00:14 - 2021-05-21 08:09:57,54.426
2021-05-21 08:10:01 - 2021-05-21 08:10:02,0.000
2021-05-21 11:13:21 - 2021-05-21 11:22:38,52.212
2021-05-21 11:22:38 - 2021-05-21 11:22:56,53.219
2021-05-21 11:22:56 - 2021-05-21 11:26:51,51.943
2021-05-21 11:26:51 - 2021-05-21 11:27:00,54.020
2021-05-21 11:27:00 - 2021-05-21 11:31:04,51.811
2021-05-21 11:31:04 - 2021-05-21 11:31:31,51.841
2021-05-21 11:31:31 - 2021-05-21 11:38:53,51.473
2021-05-21 11:38:53 - 2021-05-21 11:38:59,48.250
2021-05-21 11:39:01 - 2021-05-21 11:39:31,52.546
2021-05-21 11:39:31 - 2021-05-21 11:39:43,52.004
2021-05-21 11:39:43 - 2021-05-21 11:39:46,50.678
2021-05-21 11:39:46 - 2021-05-21 11:40:01,52.227
2021-05-21 11:40:01 - 2021-05-21 11:40:59,51.275
2021-05-21 11:58:47 - 2021-05-21 12:10:27,49.804
2021-05-21 12:10:39 - 2021-05-21 12:13:04,51.900
2021-05-21 13:30:36 - 2021-05-21 13:45:22,103.675
2021-05-21 13:45:22 - 2021-05-21 13:46:43,102.797
2021-05-21 14:01:23 - 2021-05-21 14:04:11,103.520
2021-05-21 14:04:21 - 2021-05-21 14:04:51,100.090
2021-05-21 14:04:51 - 2021-05-21 14:05:00,96.872
2021-05-21 14:05:00 - 2021-05-21 14:05:21,97.787
2021-05-21 14:05:21 - 2021-05-21 14:05:24,101.002
2021-05-21 14:05:24 - 2021-05-21 14:06:03,96.848
2021-05-21 14:06:03 - 2021-05-21 14:06:06,97.379
2021-05-21 14:06:06 - 2021-05-21 14:06:27,102.302
2021-05-21 14:06:27 - 2021-05-21 14:06:30,104.369
2021-05-21 14:06:30 - 2021-05-21 14:06:42,105.120
2021-05-21 14:06:42 - 2021-05-21 14:06:45,104.483
2021-05-21 14:06:45 - 2021-05-21 14:07:28,105.295
2021-05-21 14:07:28 - 2021-05-21 14:07:31,105.896
2021-05-21 14:07:31 - 2021-05-21 14:08:04,104.940
2021-05-21 14:08:04 - 2021-05-21 14:08:10,105.892
2021-05-21 14:08:10 - 2021-05-21 14:08:28,106.683
2021-05-21 14:08:28 - 2021-05-21 14:08:34,106.923
2021-05-21 14:08:34 - 2021-05-21 14:09:19,105.657
2021-05-21 14:09:19 - 2021-05-21 14:09:25,96.969
2021-05-21 14:09:25 - 2021-05-21 14:10:10,97.380
2021-05-21 14:10:10 - 2021-05-21 14:10:13,98.390
2021-05-21 14:10:13 - 2021-05-21 14:10:31,99.918
2021-05-21 14:10:31 - 2021-05-21 14:10:37,99.926
2021-05-21 14:10:37 - 2021-05-21 14:14:35,101.136
2021-05-21 14:14:35 - 2021-05-21 14:14:38,94.629
2021-05-21 14:14:38 - 2021-05-21 14:15:08,97.218
2021-05-21 14:15:08 - 2021-05-21 14:15:14,96.470
2021-05-21 14:15:14 - 2021-05-21 14:15:32,95.330
2021-05-21 14:15:32 - 2021-05-21 14:15:35,94.839
2021-05-21 14:15:35 - 2021-05-21 14:23:12,96.100
2021-05-21 15:19:35 - 2021-05-21 15:23:24,44.614
2021-05-21 15:27:35 - 2021-05-21 15:38:58,98.114
2021-05-21 15:42:38 - 2021-05-21 15:51:32,102.831
2021-05-21 15:51:32 - 2021-05-21 15:51:40,98.672
2021-05-21 15:51:42 - 2021-05-21 15:55:06,100.064
2021-05-21 17:19:39 - 2021-05-21 17:30:40,98.221
2021-05-21 17:38:42 - 2021-05-21 17:39:03,100.928
2021-05-21 17:39:03 - 2021-05-21 17:39:09,98.071
2021-05-21 17:39:09 - 2021-05-21 17:39:24,101.647
2021-05-21 17:39:24 - 2021-05-21 17:39:30,101.231
2021-05-21 17:39:30 - 2021-05-21 17:39:51,102.152
2021-05-21 17:39:51 - 2021-05-21 17:39:54,101.011
2021-05-21 17:39:54 - 2021-05-21 17:40:13,100.361
2021-05-21 17:40:12 - 2021-05-21 17:40:16,99.538
2021-05-21 17:40:16 - 2021-05-21 17:40:28,100.228
2021-05-21 17:40:28 - 2021-05-21 17:40:34,99.878
2021-05-21 17:40:34 - 2021-05-21 17:40:46,99.839
2021-05-21 17:40:46 - 2021-05-21 17:40:52,98.184
2021-05-21 17:40:52 - 2021-05-21 17:43:40,99.955
2021-05-21 17:43:40 - 2021-05-21 17:43:46,97.889
2021-05-21 17:43:46 - 2021-05-21 17:45:04,96.202
2021-05-21 17:45:04 - 2021-05-21 17:45:10,97.139
2021-05-21 17:45:10 - 2021-05-21 17:45:28,95.811
2021-05-21 17:45:28 - 2021-05-21 17:45:31,96.798
